Date,Ticker,Open,Low,AdjClose,Volume,High,Close,Company_Name,Sector,Current_Market_Cap
2016-01-12,BAJAJ-AUTO.NS,2361.5,2337.14990234375,2057.47119140625,199864.0,,,Bajaj Auto Ltd.,Automobile,2680130000000.0
2016-01-12,BAJAJFINSV.NS,1958.949951171875,1940.0,1952.31298828125,22626.0,,,Bajaj Finserv Ltd.,Financials,3119270000000.0
2016-01-12,BAJFINANCE.NS,631.0,615.2000122070312,593.7171020507812,584520.0,,,Bajaj Finance Ltd.,Financials,5780270000000.0
2016-01-12,BHARTIARTL.NS,295.65301513671875,287.9410095214844,280.5592956542969,3202276.0,,,Bharti Airtel Ltd.,Telecom,11992300000000.0
2016-01-12,CIPLA.NS,609.0,605.7000122070312,599.2086181640625,1278522.0,,,Cipla Ltd.,Pharma,1069500000000.0
2016-01-12,COALINDIA.NS,315.95001220703125,312.20001220703125,209.8363037109375,2704456.0,,,Coal India Ltd.,Metals,2716220000000.0
2016-01-12,DRREDDY.NS,2916.0,2890.25,2778.09912109375,471582.0,,,Dr. Reddy's Laboratories Ltd.,Pharma,1014150000000.0
2016-01-12,EICHERMOT.NS,1739.97998046875,1698.0899658203125,1412.4083251953125,296900.0,,,Eicher Motors Ltd.,Automobile,1953700000000.0
2016-01-12,GRASIM.NS,561.4180297851562,542.572021484375,519.3285522460938,586915.0,,,Grasim Industries Ltd.,Cement,1912430000000.0
2016-01-12,HCLTECH.NS,409.0,399.0249938964844,357.84686279296875,2315328.0,,,HCL Technologies Ltd.,IT,4587700000000.0
2016-01-12,HDFCBANK.NS,531.9500122070312,521.75,504.0445251464844,2129368.0,,,HDFC Bank Ltd.,Financials,14299300000000.0
2016-01-12,HINDALCO.NS,78.4000015258789,75.0,73.50788879394531,6696133.0,,,Hindalco Industries Ltd.,Metals,2152250000000.0
2016-01-12,HINDUNILVR.NS,808.5,804.5499877929688,758.2531127929688,1110037.0,,,Hindustan Unilever Ltd.,FMCG,5575580000000.0
2016-01-12,ICICIBANK.NS,219.09100341796875,214.1820068359375,202.85232543945312,11895899.0,,,ICICI Bank Ltd.,Financials,9692260000000.0
2016-01-12,INFY.NS,531.0,515.4249877929688,440.8410339355469,6565212.0,,,Infosys Ltd.,IT,6638980000000.0
2016-01-12,ITC.NS,210.16700744628903,208.3329925537109,184.3891448974609,6954766.0,,,ITC Ltd.,FMCG,4036290000000.0
2016-01-12,JSWSTEEL.NS,102.48999786376952,100.25,88.33434295654297,5909770.0,,,JSW Steel Ltd.,Metals,2966610000000.0
